name,slug,platform,booking_url,state,suburb,postcode,lat,lng,holes
Maylands Peninsula Public Golf Course,maylands-peninsula,miclub,https://maylandsembleton.miclub.com.au/guests/bookings/ViewPublicCalendar.msp?booking_resource_id=3000000,WA,Maylands,6051,-31.9290,115.8930,18
Wembley Golf Course,wembley,miclub,https://wembley.miclub.com.au/guests/bookings/ViewPublicCalendar.msp?booking_resource_id=3000000,WA,Wembley Downs,6019,-31.9243,115.7830,18
